Index,House_No,Location,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
1,House_1,City Center,37.45401188,26.17056837,17.15987635,0,0.323279673,8.481468068,53.77002559,9.768858735,22,360.9915436,15.94975,355.5891537,17.20926619,136605.9193
2,House_2,Suburb,95.07143064,24.69787991,24.16296988,0,0.412063517,6.152162891,14.65198335,1.154556916,13,220.5496577,18.50179222,301.0542741,18.035895,117863.818
3,House_3,Suburb,73.19939418,90.62545805,22.80482789,0,0.798747483,7.349461631,59.53304767,9.528864878,16,447.8321911,19.58615484,111.0324297,32.55743406,158327.2482
4,House_4,Suburb,59.86584842,24.95461998,4.616997141,0,0.760061014,5.616289788,32.16377675,4.318096815,13,206.4091667,15.22736227,147.1653252,12.90045119,92165.19625
5,House_5,City Center,15.60186404,27.19497261,4.477484092,0,0.510385615,6.780207465,6.182527914,1.090813645,4,675.3228124,19.9751456,246.5735692,13.91783414,197382.6563
6,House_6,Countryside,15.59945203,75.93982624,8.045231032,0,0.526086377,5.043455625,94.91695961,7.202415086,4,598.341823,15.38925717,166.455926,3.749269621,164944.3765
7,House_7,Countryside,5.808361217,44.97398425,10.83224179,1,0.62013266,4.806954119,64.50754654,9.824862736,11,296.0048883,14.5610706,201.2176465,12.05829496,124021.645
8,House_8,City Center,86.61761458,77.6710557,12.25366744,1,0.300144603,6.469378717,87.81497426,9.690631506,23,343.7858744,14.22446168,279.2673644,28.96150636,-16152.77098
9,House_9,City Center,60.11150117,6.536615756,20.39091651,0,0.444746602,5.988778045,67.9295445,2.448433101,14,691.419274,13.99904146,186.9003393,25.75551986,77599.56439
10,House_10,Suburb,70.80725778,48.75711937,1.700412965,0,0.424939085,6.477218215,36.34138552,2.631230255,3,386.7742771,19.37124073,76.38791587,4.174369432,108752.6411
11,House_11,Countryside,2.05844943,3.361360018,1.040181127,0,0.450289768,4.719963488,51.75611916,6.089850232,19,591.8611787,20.87509261,208.2295749,5.473061792,102093.441
12,House_12,City Center,96.99098522,6.265320346,11.75731689,0,0.783543506,5.201746991,67.89892927,6.735743438,22,423.4077342,14.30648474,142.4472921,15.70011259,61428.78691
13,House_13,City Center,83.24426408,90.64374533,20.91491076,1,0.467804314,3.503387764,96.06498019,7.654761223,1,632.0479621,12.85240298,116.2936914,30.00655272,70680.96774
14,House_14,Countryside,21.23391107,13.92453711,5.803060289,1,0.414912793,3.313658234,26.11327645,2.629453244,5,551.8767541,15.13766976,131.2434244,33.48381285,84363.77961
15,House_15,Suburb,18.18249672,53.24206823,19.24513444,0,0.602558076,4.520742778,87.6227288,9.631063781,17,211.4550299,18.57847239,175.600887,1.570337677,6392.026371
16,House_16,Suburb,18.34045099,41.10956026,7.794844138,1,0.819387022,3.445481156,92.48370272,6.748653307,1,347.194943,15.68520092,354.6452571,13.83141251,134697.3207
17,House_17,Suburb,30.4242243,34.73433263,26.58258326,1,0.444809822,3.622648252,67.37113595,8.62342227,19,478.9961574,17.49176539,293.6228417,17.54621268,-11227.17158
18,House_18,Countryside,52.47564316,89.98333457,26.87069833,0,0.347121746,7.877570432,93.19539611,5.860591438,19,663.087022,19.44304966,267.1527754,36.53417962,61451.44169
19,House_19,City Center,43.19450186,2.182339678,8.918616128,0,0.513842842,3.233242182,40.38998016,4.728491628,4,251.0149473,16.08478531,188.5040844,20.55485575,8759.782689
20,House_20,City Center,29.12291402,66.37896862,6.899812619,0,0.748591095,6.953656764,95.34860143,9.794646159,19,500.5812689,21.99694831,0.73197886,11.51832984,66105.46714
21,House_21,City Center,61.18528947,96.33944342,12.33911916,0,0.630414327,4.635346493,70.57550484,6.239092337,6,351.0883657,14.9794926,136.2202846,16.21183554,122231.2232
22,House_22,City Center,13.94938607,56.01681835,7.215947555,1,0.790076022,8.229274084,5.158570974,8.801862245,15,644.663891,21.78248352,325.276816,18.02094322,117562.9106
23,House_23,Countryside,29.21446485,93.6822462,20.1715153,0,0.875755289,5.909953707,90.78041035,9.579631567,4,582.5848048,14.03029665,155.2683638,27.12983907,110256.7616
24,House_24,Suburb,36.63618433,5.225787929,24.78194054,1,0.775597486,4.833458756,48.96280809,7.078191643,24,384.851361,13.10931743,225.52765,2.602423536,120005.7191
25,House_25,Suburb,45.60699842,41.87933191,20.19276393,0,0.662281847,6.105833614,46.57237149,5.940448107,1,283.551582,19.50830625,81.89592654,16.18861486,-10003.95906
26,House_26,Suburb,78.51759614,26.0157791,24.73051342,1,0.596004953,5.291748114,57.08019399,1.031597658,24,205.7489862,19.02309657,366.3430967,26.21563084,33111.2529
27,House_27,Suburb,19.96737822,73.0820965,11.90976487,0,0.324041452,6.385806388,15.78907013,1.360176767,17,510.5672253,20.11169347,369.2681743,12.0495703,135243.642
28,House_28,City Center,51.42344384,98.12970905,4.689509121,0,0.890593187,3.68719721,47.44743881,2.807660944,11,403.0619038,15.43590422,58.42815358,24.07828926,85350.89323
29,House_29,City Center,59.24145689,25.65300624,22.13852842,1,0.530088674,8.981943017,83.28159446,2.674075887,17,357.3782464,21.30807654,289.6635797,14.93387827,25203.45735
30,House_30,Countryside,4.645041272,65.41746015,10.81423515,1,0.391336928,5.553335266,2.532763455,3.292829157,23,692.7511458,13.19481428,30.0954031,30.59011383,125515.5868
31,House_31,Suburb,60.75448519,19.80976328,20.13812476,1,0.700025313,5.089383838,28.01879887,3.744411739,1,433.0710678,12.30277101,239.4190472,3.363310162,116182.4285
32,House_32,City Center,17.05241237,56.53302546,8.119318259,0,0.470572973,7.26125909,1.243004058,4.240589442,9,574.9196418,15.00563885,71.46146033,36.80051725,34261.976
33,House_33,City Center,6.505159299,46.39324867,2.436889044,1,0.651466963,5.183396439,42.15541961,4.784839211,14,288.7062086,19.97324463,58.282101,7.69288937,113271.4571
34,House_34,City Center,94.88855373,97.20053296,29.77745386,1,0.652060745,7.99964583,73.10323554,1.889797046,15,206.7276289,18.72982307,1.647926957,7.183336383,92379.82292
35,House_35,Suburb,96.56320331,60.85272727,4.686045238,1,0.567437893,5.725624346,80.07841108,1.381257388,24,408.7813097,16.36208764,376.3428547,33.78507485,78756.79754
36,House_36,City Center,80.83973481,34.95063721,29.65262982,1,0.801671169,7.31735048,94.57378635,7.065500042,1,532.8324175,14.56253614,331.7009966,34.902034,-17908.28121
37,House_37,Suburb,30.46137692,11.40957849,29.31839798,1,0.458980237,3.644719299,61.24195668,5.836013424,2,453.2993481,12.59272787,30.9902229,4.625959224,58098.71524
38,House_38,Suburb,9.767211401,15.12468287,23.81454312,1,0.569179555,8.076715113,26.2080598,4.99729782,18,645.2331288,15.37505578,239.750244,36.44003819,151409.5158
39,House_39,Countryside,68.42330265,22.531693,19.78268886,1,0.622615277,7.414307921,92.49064696,6.709959471,18,416.9896756,16.60019768,93.15929392,11.6586168,125740.7605
40,House_40,Countryside,44.01524937,25.09666613,17.33421151,1,0.698174832,4.270300671,77.75625963,8.449114665,6,355.5014066,18.87023838,105.6063529,25.12624573,98355.75434
41,House_41,Suburb,12.20382348,85.06160578,25.98304636,1,0.77038311,3.871716058,57.86841982,4.849236182,20,658.0243381,18.45971955,349.6681287,3.675146126,70924.18745
42,House_42,Suburb,49.51769101,56.12227883,8.683185649,0,0.53688437,4.897754092,69.86838136,6.770075185,8,403.4011393,21.47344903,45.73029824,15.84578294,101445.5173
43,House_43,Suburb,3.438852112,52.33909114,14.03043637,0,0.687628166,8.856423516,92.50731915,9.582150015,1,334.8239308,13.00395919,240.5960543,18.57825976,111143.7547
44,House_44,City Center,90.93204021,11.47688719,18.58169908,1,0.390366572,4.540989447,71.52700882,8.556620463,15,248.8305384,15.36340123,160.502214,24.3932362,6588.242945
45,House_45,City Center,25.87799816,86.01396933,12.33571428,0,0.85958886,5.736763254,37.46907625,4.834007295,10,596.6548866,16.81578082,76.32023985,21.48560689,68098.66996
46,House_46,City Center,66.25222844,72.28143032,12.82459362,0,0.529835284,3.180121354,71.58979203,6.80245154,4,612.5457304,18.70695794,180.7672301,18.9982255,122254.5446
47,House_47,Countryside,31.17110761,6.76683619,9.908540025,1,0.737712853,5.383365177,4.987538111,2.593638297,10,216.6488918,16.95451691,376.1957148,38.42596826,115789.53
48,House_48,Suburb,52.00680212,70.78350972,16.9269545,1,0.312204649,6.427920093,39.25514062,6.044699664,11,379.3227992,21.12758232,312.6440197,8.215888303,46051.85772
49,House_49,City Center,54.67102793,54.35382173,25.51723584,1,0.423112286,8.718747675,41.22598015,9.83195462,5,574.9382273,18.08672346,52.84456055,7.161774995,98224.42764
50,House_50,City Center,18.48544555,8.172534575,6.04585134,1,0.592249527,6.10041627,17.51698521,5.664836037,9,673.1909237,12.3966541,339.7718959,28.82334338,32271.81933
51,House_51,Countryside,96.95846278,45.83006415,28.03299116,1,0.826951481,7.914643957,3.285462575,9.348744693,5,388.9091419,13.13655969,374.9762116,3.90752351,114823.3822
52,House_52,Countryside,77.51328234,48.46962871,20.67262961,1,0.61635309,6.282765855,14.20474243,4.666014285,11,636.0267157,19.53495561,110.7857123,19.83276678,127355.8765
53,House_53,Suburb,93.94989416,16.57745402,24.69819638,0,0.857922289,3.244710081,65.80752808,9.989603445,3,396.8602033,19.15787696,133.3678782,19.87807165,145368.7212
54,House_54,Suburb,89.48273504,94.5698147,16.68572078,1,0.590278138,4.890049651,80.42659282,6.212980317,4,289.7473136,13.53497002,50.52397065,13.09098791,-3459.648347
55,House_55,City Center,59.78999788,84.99753715,23.38550104,0,0.594269458,6.453297047,98.83214578,1.380420948,10,201.7230719,12.58908661,137.9760418,37.28730593,108205.0322
56,House_56,City Center,92.1874235,66.90223373,0.48601192,1,0.371848073,8.703563796,35.28998681,6.28079317,7,365.0905116,17.78717855,269.2563189,12.01919397,106194.6779
57,House_57,City Center,8.849250205,46.2295561,24.55141274,1,0.781593746,8.154782159,60.338543,3.471154261,1,389.2375254,18.35738832,108.862006,12.24923614,99171.88671
58,House_58,City Center,19.59828624,41.17655416,1.204165773,0,0.448179247,4.370133685,93.77735171,1.292331898,6,672.5587644,13.35299638,2.730004307,10.1376986,32879.39025
59,House_59,City Center,4.522728891,65.09734672,26.69740129,1,0.839767494,4.32065898,17.53713635,8.387679742,8,303.0351262,16.73619321,135.4178591,6.685733374,174609.3575
60,House_60,Countryside,32.53303308,54.54318694,29.75888242,1,0.846494532,4.207037803,72.04691305,3.481566733,17,391.115354,15.05831529,181.2696116,15.19643116,-11075.87115
61,House_61,Suburb,38.86772897,6.227310588,8.822023865,0,0.865986067,8.534993378,75.74289458,8.168936986,24,212.5770649,21.31305646,226.542415,27.55460314,75534.0272
62,House_62,Countryside,27.13490318,51.25026488,6.309556689,1,0.612138293,8.115996919,9.808578051,3.593958247,7,581.7698675,14.19199803,273.5300417,29.94435165,114153.4822
